
  Date  Temperature  Humidity  Rainfall
0   2024-05-01         34.0       3.6        64
1   2024-05-02         35.9       7.8        58
2   2024-05-03         31.1      17.1        59
3   2024-05-04         36.8      13.1        53
4   2024-05-05         29.7      10.3        56
5   2024-05-06         27.2      17.9        40
6   2024-05-07         27.4       5.6        81
7   2024-05-08         33.2      12.0        48
8   2024-05-09         28.9       9.7        51
9   2024-05-10         26.7       4.2        67
10  2024-05-11         25.0       9.2        67
11  2024-05-12         36.4      18.0        74
12  2024-05-13         35.8      16.1        51
13  2024-05-14         30.2       4.8        86
14  2024-05-15         38.9       1.0        47
15  2024-05-16         29.6       3.9        55
16  2024-05-17         30.1      15.7        52
17  2024-05-18         26.7       8.7        45
18  2024-05-19         39.7      11.6        62
19  2024-05-20         28.2      13.0        44
20  2024-05-21         36.2      15.4        69
21  2024-05-22         35.6      10.7        46
22  2024-05-23         29.7       4.4        82
23  2024-05-24         29.4      12.3        49
24  2024-05-25         36.8       3.4        80
25  2024-05-26         25.6       6.7        73
26  2024-05-27         37.5       2.8        68
27  2024-05-28         38.3       2.2        52
28  2024-05-29         32.2       8.5        81
29  2024-05-30         30.8      15.7        42
